#generation tag fitness FoM -a -b -c -d -e -f -g 
0 deme1_ind9 4.53999e-05 9605.12 0.31943122 -1.0049047 0.53743252 -0.39796411 1.12343 -0.85011103 1.6599875 
0 deme1_ind10 0.976415 3154.41 0.36763982 -0.86193379 1.0046631 -1.6720637 0.84392099 -1.005522 1.0000406 
0 deme1_ind11 0.741001 3997.28 1.2342052 -1 1 -1 1 -1.1894745 1 
0 deme1_ind12 1 2823.07 0.99398237 -1.1971493 1.2570304 -0.33802498 0.79969065 -0.86478257 0.9905345 
0 deme1_ind13 0.515731 4568.27 1 -1 1 -1 0.55010132 -1 1 
0 deme1_ind14 0.00907449 7473.74 1.6549828 -1.0097721 1.1848649 -1.1878221 0.84678396 -1.2021851 1.1753168 
0 deme1_ind15 0.0280879 6876.68 1.1335972 -0.83589063 1.4941037 -0.63730402 1.121615 -1.4589376 1.6455493 
0 deme1_ind16 0.0397733 6674.27 1.1328295 -0.30321097 0.88392064 -0.5999613 1.1794981 -1.6322255 1.6017623 
0 deme1_ind17 0.98922 3046.35 1.1618915 -1.6570934 1.4141973 -1.6117971 0.99163465 -1.6300558 0.84893213 
0 deme1_ind18 0.650797 4228.7 1 -1 1 -1 1 -1 1 
0 deme1_ind19 1 2823.07 0.99398237 -1.1971493 1.2570304 -0.33802498 0.79969065 -0.86478257 0.9905345 
1 deme1_ind20 0.582936 3455.41 0.99398237 -1.1971493 1.2570304 -1 0.79969065 -0.86478257 0.9905345 
1 deme1_ind21 0.962054 2522.82 1.1618915 -1.6570934 1.4141973 -1.6117971 0.79969065 -0.86478257 0.84893213 
1 deme1_ind22 0.777971 3050.5 0.99398237 -1.1971493 1.2570304 -0.33802498 0.79969065 -1 0.9905345 
1 deme1_ind23 0.602171 3416.51 0.34247809 -1.0578694 0.61332956 -0.49339016 0.80418613 -0.86433636 1.0971324 
1 deme1_ind24 4.53999e-05 7664 1.1335972 -0.83589063 1.4141973 -1.6117971 0.99163465 -1.6300558 1.6455493 
1 deme1_ind25 0.541383 3539.86 1.2342052 -1.1971493 1 -1 1 -0.86478257 0.9905345 
1 deme1_ind26 0.879487 2803.09 0.36763982 -0.86193379 1.0046631 -1.6720637 0.55010132 -1.005522 1 
1 deme1_ind27 0.926603 2660.5 0.36763982 -0.86193379 1.0046631 -1.6720637 0.84392099 -1.005522 0.9905345 
1 deme1_ind28 1 2181.85 1.1618915 -1.1971493 1.2570304 -0.33802498 0.79969065 -0.86478257 0.84893213 
